int_rt,geo\time	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 	1979Q4 	1979Q3 	1979Q2 	1979Q1 	1978Q4 	1978Q3 	1978Q2 	1978Q1 	1977Q4 	1977Q3 	1977Q2 	1977Q1 	1976Q4 	1976Q3 	1976Q2 	1976Q1 	1975Q4 	1975Q3 	1975Q2 	1975Q1 	1974Q4 	1974Q3 	1974Q2 	1974Q1 	1973Q4 	1973Q3 	1973Q2 	1973Q1 
GBY_LT,AT	3.79 	4.21 	4.59 	4.58 	5.01 	4.77 	4.71 	4.65 	4.90 	5.42 	5.45 	5.42 	5.84 	6.26 	6.58 	7.20 	7.30 	6.93 	6.63 	5.91 	6.09 	6.52 	6.88 	7.06 	7.67 	8.57 	8.49 	8.35 	8.64 	8.67 	8.49 	8.67 	8.91 	8.83 	8.80 	8.43 	7.57 	7.15 	7.09 	6.75 	6.58 	6.70 	6.62 	6.78 	7.09 	6.84 	6.74 	7.08 	7.31 	7.13 	7.24 	7.64 	7.51 	7.57 	7.99 	8.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,BE	4.21 	4.58 	4.96 	5.03 	5.54 	5.50 	5.70 	5.61 	5.81 	6.42 	6.49 	6.48 	6.72 	7.07 	7.47 	8.25 	8.34 	8.19 	7.52 	6.77 	6.93 	7.09 	7.33 	7.51 	8.07 	8.93 	8.87 	8.76 	9.13 	9.34 	9.06 	9.46 	10.00 	10.04 	9.91 	10.26 	9.36 	8.48 	8.35 	8.35 	7.99 	8.11 	7.78 	7.54 	8.11 	7.84 	7.75 	7.59 	7.47 	7.36 	7.75 	9.13 	9.56 	10.47 	10.87 	11.55 	11.59 	11.91 	12.13 	12.19 	11.65 	11.42 	11.59 	12.52 	12.92 	13.26 	13.60 	14.01 	13.89 	14.00 	13.76 	13.65 	12.74 	12.09 	12.04 	11.93 	10.90 	9.78 	9.21 	8.93 	8.70 	8.37 	8.23 	8.52 	8.41 	8.64 	8.98 	9.18 	9.19 	8.98 	9.18 	8.83 	8.51 	8.23 	8.41 	9.01 	9.01 	8.98 	8.62 	8.09 	7.69 	7.45 	7.32 	7.27 
GBY_LT,CA	: 	: 	: 	: 	5.45 	5.72 	6.29 	6.14 	6.02 	7.08 	7.48 	7.06 	7.32 	7.93 	7.92 	8.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,DE	3.90 	4.27 	4.70 	4.73 	5.23 	5.03 	5.10 	5.04 	5.30 	5.77 	5.87 	5.63 	5.83 	6.34 	6.57 	7.30 	7.37 	6.96 	6.53 	5.83 	5.63 	6.20 	6.57 	6.73 	7.33 	8.24 	8.27 	8.10 	8.57 	8.77 	8.50 	8.74 	9.03 	8.93 	8.93 	8.49 	7.50 	6.90 	6.97 	6.76 	6.07 	6.40 	6.00 	5.83 	6.17 	6.00 	5.50 	5.70 	6.00 	5.80 	5.73 	6.13 	6.53 	6.47 	7.10 	7.37 	7.20 	7.87 	8.00 	8.03 	8.13 	8.23 	7.67 	7.53 	8.10 	9.00 	9.07 	9.73 	10.03 	11.10 	10.64 	9.76 	8.63 	7.93 	8.77 	8.67 	7.93 	7.60 	7.47 	6.70 	6.17 	6.00 	5.40 	5.30 	5.70 	5.80 	6.20 	6.93 	7.50 	8.03 	7.80 	7.87 	8.37 	8.27 	8.37 	8.94 	10.30 	10.70 	10.57 	9.97 	9.60 	9.84 	9.33 	8.57 
GBY_LT,DK	4.40 	4.77 	5.10 	5.27 	5.90 	6.07 	6.47 	6.48 	6.63 	7.17 	7.33 	7.40 	7.50 	8.23 	8.50 	8.90 	8.87 	8.60 	7.77 	6.53 	6.30 	6.73 	7.37 	8.36 	8.93 	9.50 	8.73 	8.47 	8.90 	9.27 	9.20 	9.58 	10.60 	10.46 	10.57 	11.28 	10.73 	9.63 	9.80 	9.36 	9.00 	9.30 	9.96 	10.00 	11.23 	11.23 	11.20 	11.55 	10.87 	10.63 	9.37 	9.34 	10.00 	10.36 	11.63 	12.97 	13.97 	14.27 	14.13 	13.20 	13.30 	14.07 	13.43 	16.42 	20.07 	21.20 	21.40 	20.39 	19.07 	20.20 	19.10 	18.29 	18.03 	19.20 	19.50 	19.03 	16.86 	16.26 	15.27 	15.26 	17.17 	15.57 	17.07 	16.78 	16.80 	17.02 	16.19 	16.54 	13.13 	13.10 	14.26 	13.84 	13.33 	13.09 	13.00 	12.97 	14.15 	15.25 	15.22 	13.57 	11.40 	11.02 	11.02 	10.85 
GBY_LT,EL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	14.01 	14.87 	17.02 	20.36 	18.17 	16.91 	17.36 	17.47 	14.62 	16.62 	16.98 	14.94 	14.02 	14.17 	16.54 	18.37 	17.19 	17.39 	19.12 	20.20 	19.44 	18.57 	18.04 	16.89 	13.33 	15.48 	15.58 	17.78 	15.57 	18.02 	18.23 	19.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,ES	3.97 	4.53 	4.81 	4.87 	5.49 	5.65 	6.00 	6.23 	6.91 	8.11 	8.52 	9.18 	10.11 	10.84 	11.48 	11.72 	10.94 	10.54 	9.22 	8.08 	8.31 	9.34 	11.03 	11.96 	13.21 	12.70 	11.39 	11.37 	11.76 	11.94 	12.10 	13.93 	14.66 	14.75 	14.64 	14.66 	14.10 	13.74 	13.64 	13.33 	12.49 	11.20 	11.08 	12.20 	13.58 	13.85 	12.90 	10.77 	10.27 	11.38 	11.49 	12.31 	12.34 	14.26 	13.58 	13.37 	14.79 	16.73 	17.52 	17.11 	17.81 	17.42 	16.85 	15.69 	16.08 	16.09 	15.98 	15.79 	15.95 	15.27 	15.77 	16.24 	16.53 	16.10 	15.65 	15.56 	14.38 	13.05 	13.09 	12.76 	12.53 	11.32 	12.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,FI	4.31 	4.67 	5.01 	5.17 	5.71 	5.86 	6.20 	6.06 	6.44 	7.05 	7.35 	7.47 	7.62 	8.36 	8.99 	10.21 	10.17 	10.34 	8.77 	6.87 	7.36 	8.15 	9.43 	10.36 	11.68 	12.85 	11.96 	11.40 	11.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,FR	4.45 	4.64 	5.04 	5.14 	5.64 	5.57 	5.85 	5.63 	5.91 	6.47 	6.77 	6.89 	7.23 	7.51 	7.77 	8.12 	8.34 	7.95 	7.39 	6.38 	6.11 	6.66 	7.36 	8.04 	8.46 	9.36 	9.05 	8.96 	9.25 	9.46 	9.43 	9.80 	10.61 	10.61 	10.07 	10.35 	9.56 	8.93 	8.98 	9.14 	8.82 	9.21 	9.29 	9.56 	10.66 	10.68 	9.92 	9.59 	9.45 	8.37 	8.60 	10.06 	11.38 	11.93 	11.94 	12.21 	12.36 	13.52 	13.87 	13.87 	14.08 	14.01 	14.54 	14.84 	15.67 	15.83 	16.13 	16.36 	16.71 	17.07 	16.52 	14.86 	14.27 	13.58 	13.59 	13.68 	12.09 	11.49 	10.10 	6.37 	10.10 	10.42 	10.70 	11.22 	11.06 	11.01 	11.14 	10.75 	10.98 	10.59 	10.26 	10.20 	10.17 	10.14 	10.29 	10.64 	11.17 	11.39 	11.00 	10.46 	9.55 	9.30 	8.73 	8.41 
GBY_LT,IE	4.50 	4.83 	5.27 	5.38 	5.93 	6.38 	6.83 	6.85 	6.95 	7.51 	7.67 	7.81 	7.75 	8.27 	8.42 	8.73 	8.73 	8.72 	8.36 	6.94 	6.65 	7.36 	7.88 	8.98 	9.62 	9.27 	8.81 	8.73 	9.03 	9.30 	9.10 	9.26 	10.00 	10.16 	9.98 	10.21 	9.21 	8.80 	9.11 	8.65 	8.40 	9.45 	9.72 	10.38 	10.58 	11.68 	10.77 	12.06 	13.37 	11.20 	9.02 	10.65 	11.92 	11.62 	12.89 	14.27 	15.05 	14.94 	14.40 	14.06 	13.93 	13.71 	13.58 	14.37 	14.66 	16.15 	18.38 	19.03 	18.25 	17.70 	16.94 	16.12 	15.11 	14.38 	15.54 	16.39 	16.45 	15.88 	14.21 	13.73 	13.23 	12.86 	13.15 	12.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,IT	4.32 	4.77 	5.14 	5.35 	6.02 	6.55 	7.41 	7.48 	7.85 	9.36 	9.88 	10.53 	11.60 	11.81 	12.69 	12.74 	11.97 	11.36 	9.79 	9.14 	9.26 	10.31 	12.51 	13.16 	13.84 	13.81 	12.79 	12.62 	12.89 	13.27 	13.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,LU	5.22 	5.31 	5.32 	5.33 	5.33 	5.39 	5.50 	5.42 	5.31 	5.07 	5.14 	5.34 	5.82 	6.11 	6.18 	6.09 	6.37 	6.49 	6.34 	6.36 	6.68 	6.61 	7.14 	7.27 	8.16 	7.93 	7.90 	7.61 	8.09 	8.13 	8.15 	8.25 	8.65 	8.47 	8.52 	8.74 	8.32 	7.54 	7.35 	7.53 	6.95 	7.20 	6.74 	7.68 	7.47 	8.08 	8.12 	8.18 	8.35 	8.33 	8.87 	9.16 	9.27 	9.37 	9.68 	9.81 	10.27 	10.47 	10.33 	9.95 	9.47 	9.29 	10.12 	10.47 	10.80 	10.31 	10.56 	9.72 	9.21 	9.06 	8.55 	7.91 	7.71 	7.51 	7.43 	7.10 	6.81 	6.80 	6.77 	6.73 	6.72 	6.64 	6.58 	6.60 	6.59 	6.60 	7.34 	7.62 	7.49 	7.27 	7.17 	6.98 	6.75 	6.73 	6.67 	6.76 	7.13 	7.57 	7.32 	7.06 	6.82 	6.79 	6.81 	6.76 
GBY_LT,NL	4.08 	4.42 	4.83 	4.80 	5.26 	5.20 	5.27 	5.15 	5.35 	5.86 	5.93 	5.77 	5.95 	6.44 	6.68 	7.34 	7.42 	7.06 	6.62 	5.75 	5.68 	6.21 	6.61 	6.75 	7.47 	8.38 	8.45 	8.43 	8.83 	8.90 	8.72 	9.21 	9.18 	9.02 	9.03 	8.81 	7.76 	7.12 	7.19 	6.82 	6.07 	6.32 	5.91 	5.92 	6.52 	6.54 	6.17 	6.19 	6.30 	6.09 	6.35 	6.69 	6.98 	7.02 	7.53 	7.76 	7.50 	8.35 	8.28 	8.29 	8.40 	8.68 	8.45 	7.41 	8.45 	10.16 	10.21 	10.89 	11.81 	11.96 	11.47 	10.85 	10.32 	9.69 	10.08 	10.45 	9.32 	8.68 	8.91 	8.41 	8.31 	7.77 	7.11 	7.22 	7.92 	7.49 	7.79 	8.05 	8.26 	9.60 	8.64 	8.03 	8.35 	8.39 	7.80 	8.48 	9.50 	10.44 	10.05 	9.32 	8.45 	8.29 	7.55 	7.38 
GBY_LT,PT	3.27 	4.28 	4.30 	4.25 	4.90 	: 	5.48 	5.76 	6.40 	: 	7.58 	8.41 	9.83 	10.53 	11.34 	11.53 	10.90 	11.13 	9.77 	8.80 	8.97 	10.09 	12.52 	12.82 	11.25 	11.41 	11.30 	12.99 	13.41 	13.94 	14.47 	15.24 	15.31 	15.24 	15.13 	14.99 	14.99 	15.42 	14.88 	13.72 	13.71 	13.60 	13.77 	14.41 	15.57 	15.50 	15.30 	15.07 	15.30 	16.00 	19.50 	20.69 	24.06 	25.00 	26.24 	26.35 	27.14 	27.91 	27.26 	27.90 	29.63 	27.66 	25.77 	22.88 	24.53 	22.52 	21.47 	20.49 	22.07 	18.71 	17.63 	18.16 	20.36 	22.43 	20.74 	23.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,SE	: 	4.81 	5.13 	5.51 	6.18 	6.43 	7.00 	6.85 	7.10 	8.06 	8.37 	8.58 	8.96 	10.14 	10.91 	10.97 	10.85 	11.03 	8.95 	7.15 	7.54 	7.95 	9.19 	9.80 	10.43 	10.50 	9.55 	9.44 	10.11 	10.59 	10.95 	11.51 	12.86 	13.17 	13.31 	13.48 	11.99 	11.08 	11.08 	10.65 	11.11 	11.45 	11.37 	11.40 	11.75 	11.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GBY_LT,UK	4.79 	5.36 	5.66 	5.98 	6.44 	6.93 	7.39 	7.59 	7.80 	8.19 	8.34 	8.08 	8.00 	8.23 	8.24 	8.54 	8.53 	8.55 	8.20 	6.91 	6.87 	7.51 	8.46 	8.62 	8.97 	9.06 	9.11 	9.37 	9.62 	9.85 	10.16 	10.06 	10.83 	11.25 	11.42 	10.82 	9.92 	9.51 	9.64 	9.26 	9.33 	9.53 	9.24 	9.36 	9.55 	9.71 	9.05 	9.69 	10.70 	9.58 	9.00 	10.19 	10.35 	10.26 	10.75 	10.97 	10.49 	11.15 	10.83 	10.31 	10.42 	10.90 	10.53 	11.37 	10.83 	12.29 	13.74 	14.68 	15.68 	15.27 	14.17 	13.84 	13.34 	13.34 	14.02 	14.44 	14.14 	12.38 	12.10 	13.30 	13.10 	12.64 	12.63 	11.50 	11.14 	12.88 	13.00 	13.89 	15.77 	14.42 	13.81 	13.72 	14.75 	13.86 	14.28 	14.68 	16.53 	15.04 	14.13 	13.22 	11.93 	11.15 	10.03 	9.74 
